Algorithm	Rank	Accuracy
ConvNetWord	1	0.9170569789826741
ConvNetWord	2	0.9807093099410562
ConvNetWord	3	0.9930984182428008
ConvNetWord	4	0.9971570047829798
ConvNetWord	5	0.9986554071486693
ConvNetWord	6	0.999300414789529
ConvNetWord	7	0.9996427649989085
ConvNetWord	8	0.9998015361105047
ConvNetWord	9	0.9999106912497271
ConvNetWord	10	0.9999404608331514
ConvNetWordAndCharNoiseSd0.00	1	0.9268958263044039
ConvNetWordAndCharNoiseSd0.00	2	0.9829221823089289
ConvNetWordAndCharNoiseSd0.00	3	0.9940956992875146
ConvNetWordAndCharNoiseSd0.00	4	0.9976829340901423
ConvNetWordAndCharNoiseSd0.00	5	0.9989332565939627
ConvNetWordAndCharNoiseSd0.00	6	0.9994591859011253
ConvNetWordAndCharNoiseSd0.00	7	0.999702304165757
ConvNetWordAndCharNoiseSd0.00	8	0.9998114593049795
ConvNetWordAndCharNoiseSd0.00	9	0.9998908448607776
ConvNetWordAndCharNoiseSd0.00	10	0.9999206144442019
ConvNetWordAndCharNoiseSd0.01	1	0.9290144283247663
ConvNetWordAndCharNoiseSd0.01	2	0.9838003850199456
ConvNetWordAndCharNoiseSd0.01	3	0.9944132415107071
ConvNetWordAndCharNoiseSd0.01	4	0.997613471728819
ConvNetWordAndCharNoiseSd0.01	5	0.9989034870105384
ConvNetWordAndCharNoiseSd0.01	6	0.9994790322900748
ConvNetWordAndCharNoiseSd0.01	7	0.9996973425685196
ConvNetWordAndCharNoiseSd0.01	8	0.9997965745132673
ConvNetWordAndCharNoiseSd0.01	9	0.9998858832635402
ConvNetWordAndCharNoiseSd0.01	10	0.9999156528469645
ConvNetWordAndCharNoiseSd0.02	1	0.9511381904062556
ConvNetWordAndCharNoiseSd0.02	2	0.9894665290650366
ConvNetWordAndCharNoiseSd0.02	3	0.99651199714212
ConvNetWordAndCharNoiseSd0.02	4	0.9986355607597198
ConvNetWordAndCharNoiseSd0.02	5	0.9994046083315141
ConvNetWordAndCharNoiseSd0.02	6	0.9996973425685196
ConvNetWordAndCharNoiseSd0.02	7	0.9998610752773532
ConvNetWordAndCharNoiseSd0.02	8	0.9999106912497271
